Object Type,Title,entity type,title,identifier,publisher,location,issued,Preservation Type,Usage Type,Revision Number,File Mime Type,File Name,File Location,File Label,fixity type,fixity,Creating Application Name,linking Agent Identifier Type2,linking Agent Identifier Value2,Date Created By Application,Creating Application Version,event Identifier Value,event Identifier Type,event type,event outcome1,linking Agent Identifier Type1,linking Agent Identifier Value1
IE,Dokonal?½ sekret?¡?™,Monographs,Dokonal?½ sekret?¡?™,urn: 3e6df450-3d34-11dd-b0ca-000d606f5dc6,L. Posp?­?¡il,V Hradci Kr?¡lov?© :,1872,,,,,,,,,,,,,,,,,,,,
Representation,,,,,,,,PRESERVATION_MASTER,VIEW,1,,,,,,,,,,,,,,,,,
file,,,,,,,,,,,image/jpeg,2785800001.jpg,,Front Cover,MD5,b724ec8c53388e0456d7be56763ece09,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.630Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
file,,,,,,,,,,,image/jpeg,2785800002.jpg,,Front End Sheet,MD5,74ed3f562a64071b1eba3d6795229b36,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.664Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
file,,,,,,,,,,,image/jpeg,2785800003.jpg,,Title Page,MD5,9c41d98ca9a28227b885937c5a491dc4,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.702Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
file,,,,,,,,,,,image/jpeg,2785800004.jpg,,Blank,MD5,648236ecade618317b86e0ecc16836be,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.716Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
file,,,,,,,,,,,image/jpeg,2785800005.jpg,,Normal Page,MD5,4830b7a0974d25270d10842fe882d143,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.784Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
IE,Hurrrraaaayyy!!!,Monographs,Hurrrraaaayyy!!!,urn: 3e6df450-3d34-11dd-b0ca-000d606f5dc6,L. Posp?­?¡il,V Hradci Kr?¡lov?© :,1872,,,,,,,,,,,,,,,,,,,,
Representation,,,,,,,,PRESERVATION_MASTER,VIEW,1,,,,,,,,,,,,,,,,,
file,,,,,,,,,,,image/jpeg,2785800001.jpg,abc\,Front Cover,MD5,b724ec8c53388e0456d7be56763ece09,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.630Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
file,,,,,,,,,,,image/jpeg,2785800002.jpg,abc\,Front End Sheet,MD5,74ed3f562a64071b1eba3d6795229b36,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.664Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
file,,,,,,,,,,,image/jpeg,2785800003.jpg,abc\,Title Page,MD5,9c41d98ca9a28227b885937c5a491dc4,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.702Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
file,,,,,,,,,,,image/jpeg,2785800004.jpg,abc\,Blank,MD5,648236ecade618317b86e0ecc16836be,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.716Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
file,,,,,,,,,,,image/jpeg,2785800005.jpg,abc\,Normal Page,MD5,4830b7a0974d25270d10842fe882d143,Sirius,Scanning software,PROView 6.10,2008-08-11T10:15:25.784Z,,NKP Identifiers,8d2f4182-ef8b-444b-9d59-df19f685f865,Image Creation,SUCCESS,Scanning device,HYBRID TECH 40li PROSERV Datentechnik 40li 0(11811.02x11811.02)
